project,bug_num,test_name,exception_bug,assertion_bug,exception_lbl,assertion_lbl,assert_err
TOGA_EVAL,/media/FSE_USER/extradrive1/toga-eval-FSE_USER-2023/toga-eval/evosuite-artifacts/commons-lang3-3.12.0-src/src/test/java/org/apache/commons/lang3/SerializationUtils_ESTest.java,org.apache.commons.lang3.SerializationUtils_ESTest::test0,-,-,-,-,-
TOGA_EVAL,/media/FSE_USER/extradrive1/toga-eval-FSE_USER-2023/toga-eval/evosuite-artifacts/commons-lang3-3.12.0-src/src/test/java/org/apache/commons/lang3/SerializationUtils_ESTest.java,org.apache.commons.lang3.SerializationUtils_ESTest::test1,-,-,-,-,-
TOGA_EVAL,/media/FSE_USER/extradrive1/toga-eval-FSE_USER-2023/toga-eval/evosuite-artifacts/commons-lang3-3.12.0-src/src/test/java/org/apache/commons/lang3/SerializationUtils_ESTest.java,org.apache.commons.lang3.SerializationUtils_ESTest::test2,-,-,-,-,-
TOGA_EVAL,/media/FSE_USER/extradrive1/toga-eval-FSE_USER-2023/toga-eval/evosuite-artifacts/commons-lang3-3.12.0-src/src/test/java/org/apache/commons/lang3/SerializationUtils_ESTest.java,org.apache.commons.lang3.SerializationUtils_ESTest::test3,-,-,-,-,-
TOGA_EVAL,/media/FSE_USER/extradrive1/toga-eval-FSE_USER-2023/toga-eval/evosuite-artifacts/commons-lang3-3.12.0-src/src/test/java/org/apache/commons/lang3/SerializationUtils_ESTest.java,org.apache.commons.lang3.SerializationUtils_ESTest::test4,-,-,-,-,-
TOGA_EVAL,/media/FSE_USER/extradrive1/toga-eval-FSE_USER-2023/toga-eval/evosuite-artifacts/commons-lang3-3.12.0-src/src/test/java/org/apache/commons/lang3/SerializationUtils_ESTest.java,org.apache.commons.lang3.SerializationUtils_ESTest::test5,-,-,-,-,-
TOGA_EVAL,/media/FSE_USER/extradrive1/toga-eval-FSE_USER-2023/toga-eval/evosuite-artifacts/commons-lang3-3.12.0-src/src/test/java/org/apache/commons/lang3/SerializationUtils_ESTest.java,org.apache.commons.lang3.SerializationUtils_ESTest::test6,-,-,-,-,-
TOGA_EVAL,/media/FSE_USER/extradrive1/toga-eval-FSE_USER-2023/toga-eval/evosuite-artifacts/commons-lang3-3.12.0-src/src/test/java/org/apache/commons/lang3/SerializationUtils_ESTest.java,org.apache.commons.lang3.SerializationUtils_ESTest::test7,-,-,-,-,-
TOGA_EVAL,/media/FSE_USER/extradrive1/toga-eval-FSE_USER-2023/toga-eval/evosuite-artifacts/commons-lang3-3.12.0-src/src/test/java/org/apache/commons/lang3/SerializationUtils_ESTest.java,org.apache.commons.lang3.SerializationUtils_ESTest::test8,-,-,-,-,-
TOGA_EVAL,/media/FSE_USER/extradrive1/toga-eval-FSE_USER-2023/toga-eval/evosuite-artifacts/commons-lang3-3.12.0-src/src/test/java/org/apache/commons/lang3/SerializationUtils_ESTest.java,org.apache.commons.lang3.SerializationUtils_ESTest::test9,-,-,-,-,-
TOGA_EVAL,/media/FSE_USER/extradrive1/toga-eval-FSE_USER-2023/toga-eval/evosuite-artifacts/commons-lang3-3.12.0-src/src/test/java/org/apache/commons/lang3/SerializationUtils_ESTest.java,org.apache.commons.lang3.SerializationUtils_ESTest::test10,-,-,-,-,-
TOGA_EVAL,/media/FSE_USER/extradrive1/toga-eval-FSE_USER-2023/toga-eval/evosuite-artifacts/commons-lang3-3.12.0-src/src/test/java/org/apache/commons/lang3/SerializationUtils_ESTest.java,org.apache.commons.lang3.SerializationUtils_ESTest::test11,-,-,-,-,-
TOGA_EVAL,/media/FSE_USER/extradrive1/toga-eval-FSE_USER-2023/toga-eval/evosuite-artifacts/commons-lang3-3.12.0-src/src/test/java/org/apache/commons/lang3/SerializationUtils_ESTest.java,org.apache.commons.lang3.SerializationUtils_ESTest::test12,-,-,-,-,-
TOGA_EVAL,/media/FSE_USER/extradrive1/toga-eval-FSE_USER-2023/toga-eval/evosuite-artifacts/commons-lang3-3.12.0-src/src/test/java/org/apache/commons/lang3/SerializationUtils_ESTest.java,org.apache.commons.lang3.SerializationUtils_ESTest::test13,-,-,-,-,-
TOGA_EVAL,/media/FSE_USER/extradrive1/toga-eval-FSE_USER-2023/toga-eval/evosuite-artifacts/commons-lang3-3.12.0-src/src/test/java/org/apache/commons/lang3/SerializationUtils_ESTest.java,org.apache.commons.lang3.SerializationUtils_ESTest::test14,-,-,-,-,-
TOGA_EVAL,/media/FSE_USER/extradrive1/toga-eval-FSE_USER-2023/toga-eval/evosuite-artifacts/commons-lang3-3.12.0-src/src/test/java/org/apache/commons/lang3/SerializationUtils_ESTest.java,org.apache.commons.lang3.SerializationUtils_ESTest::test15,-,-,-,-,-
